nom,code_postal,ville,siret,adresse
"Tribunal judiciaire de Digne-les-Bains","04000","DIGNE LES BAINS","17130111200297","6 place des Récollets"
"Tribunal judiciaire d'Alès","30100","ALES","17300111600297","3 Place Henri Barbusse"
"Tribunal judiciaire de Bar-le-Duc","55000","BAR LE DUC","17540111600298","21-25 place Saint-Pierre"
"Tribunal judiciaire de Clermont-Ferrand","63100","CLERMONT FERRAND","17630111700303","16 place de l'Etoile"
"Tribunal judiciaire de Compiègne","60200","COMPIEGNE","17800111100305","11 Rue Henri de Séroux"
"Tribunal judiciaire de Thonon-les-Bains","74200","THONON LES BAINS","17730111600311","10, rue de l'Hôtel Dieu"
"Tribunal judiciaire de Senlis","60300","SENLIS","17800111100321","26 allée des Soupirs"
"Tribunal judiciaire de Lons-le-Saunier","39000","LONS LE SAUNIER","17250111600336","11 rue Pasteur"
"Tribunal judiciaire de Rouen","76100","ROUEN","17760111900346","34 rue aux juifs"
"Tribunal judiciaire d'Ajaccio","20167","AJACCIO","17202111500347","4 boulevard Masseria"
"Tribunal judiciaire de Bourgoin-Jallieu","38300","BOURGOIN JALLIEU","17380111900376","12 rue du Tribunal"
"Tribunal judiciaire de Bonneville","74130","BONNEVILLE","17730111600386","Quai du Parquet"
"Tribunal judiciaire de Béziers","34500","BEZIERS","17340111800398","93 avenue du président Wilson"
"Tribunal judiciaire de Nevers","58000","NEVERS","17180111100401","Place du Palais"
"Tribunal judiciaire de Saverne","67700","SAVERNE","17680111600417","7 rue du Tribunal"
"Tribunal judiciaire de Laval","53000","LAVAL","17490111600437","13 Place Saint Tugal"
"Tribunal judiciaire de Grenoble","38000","GRENOBLE","17380111900442","Place Firmin Gautier"
"Tribunal judiciaire de Mont-de-Marsan","40000","MONT DE MARSAN","17640111500447","5 Avenue du 8 mai 1945"
"Tribunal judiciaire de Caen","14000","CAEN","17140111000449","11 rue Dumont d'Urville"
"Tribunal judiciaire de Bayonne","64100","BAYONNE","17640111500454","avenue de la Légion Tchèque"
"Tribunal judiciaire de Versailles","78000","VERSAILLES","17780111500466","5, place André-Mignot"
"Tribunal judiciaire de Dijon","21000","DIJON","17210111500480","13 boulevard Clémenceau   "
"Tribunal judiciaire de Moulins","03000","MOULINS","17630111700485","20 rue de Paris"
"Tribunal judiciaire du Havre","76600","LE HAVRE","17760111900494","133 boulevard de Strasbourg"
"Tribunal judiciaire de Toulouse","31000","TOULOUSE","17310111400499","2 Allée Jules Guesde"
"Tribunal judiciaire de Quimper","29000","QUIMPER","17350111500500","48 A quai de l'Odet"
"Tribunal judiciaire de Carcassonne","11000","CARCASSONNE","17340111800513","28 boulevard Jean-Jaurès"
"Tribunal judiciaire de Vannes","56000","VANNES","17350111500518","22 Place de la République"
"Tribunal judiciaire d'Evry","91000","EVRY","17750111100518","9 Rue des Mazières"
"Tribunal judiciaire de Lisieux","14100","LISIEUX","17140111000522","Cour Matignon"
"Tribunal judiciaire de Roanne","42300","ROANNE","17690111400528","5 bis place Georges Clémenceau"
"Tribunal judiciaire d'Arras","62000","ARRAS","17590111500535","Place des Etats d'Artois"
"Tribunal judiciaire d'Annecy","74000","ANNECY","17730111600550","51 rue Sommeiller"
"Tribunal judiciaire de Val de Briey","54150","BRIEY","17540111600561","4 rue du Maréchal Foch"
"Tribunal judiciaire de Douai","59500","DOUAI","17590111500576","47 Rue Merlin de Douai"
"Tribunal judiciaire de Foix","09000","FOIX","17310111400580","14 Boulevard du Sud"
"Tribunal judiciaire de Besançon","25000","BESANCON","17250111600583","1 Rue Mégevand"
"Tribunal judiciaire de Bergerac","24100","BERGERAC","17330111000586","Place de la République"
"Tribunal judiciaire de Montpellier","34080","MONTPELLIER","17340111800588","Place Pierre Flotte"
"Tribunal judiciaire de Montbéliard","25200","MONTBELIARD","17250111600591","rue Wolfgang Amadeus Mozart"
"Tribunal judiciaire de Cusset","03300","CUSSET","17630111700600","Rue du Drapeau"
"Tribunal judiciaire de Créteil","94000","CRETEIL","17750111100641","Place du Palais"
"Tribunal judiciaire de Toulon","83000","TOULON","17130111200644","Place Gabriel Péri"
"Tribunal judiciaire de Pontoise","95300","PONTOISE","17780111500680","3 rue Victor Hugo"
"Tribunal judiciaire de Lille","59160","LILLE","17590111500709","13 Avenue du Peuple Belge"
"Tribunal judiciaire de Dunkerque","59240","DUNKERQUE","17590111500725","Place du Palais de Justice"
"Tribunal judiciaire de Narbonne","11100","NARBONNE","17340111800752","19 Bld du Général de Gaulle"
"Tribunal judiciaire de Rodez","12000","RODEZ","17340111800760","boulevard de Guizard"
"Tribunal judiciaire de Marseille","13006","MARSEILLE 06","17130111200776","6 rue Joseph Autran"
"Tribunal judiciaire de Draguignan","83300","DRAGUIGNAN","17130111200792","11 Rue Pierre Clément"
"Tribunal judiciaire de Nantes","44200","NANTES","17350111500864","19 Quai François Mitterrand"
"Tribunal judiciaire de Grasse","06130","GRASSE","17130111200883","37 Avenue Pierre Semard"
"Tribunal judiciaire de Tarascon","13150","TARASCON","17130111200891","28 allée du Gl Jennings Kilmaine"
"Tribunal judiciaire de Fontainebleau","77300","FONTAINEBLEAU","17750111100922","159 rue Grande"
"Tribunal judiciaire de Cambrai","59400","CAMBRAI","17590111500931","rue Froissart"
"Tribunal judiciaire de Meaux","77100","MEAUX","17750111101003","44 avenue Salvador Allende"
"Tribunal judiciaire d'Avesnes-sur-Helpe","59440","AVESNES SUR HELPE","17590111501038","11 rue du Maréchal Joffre"
"Tribunal judiciaire de Melun","77000","MELUN","17750111101177","2 Avenue du Général Leclerc"
"Tribunal de proximité de Dole","39100","DOLE","17250111600054","13-15 cours Clemenceau"
"Tribunal de proximité de Saint-Paul","97434","ST PAUL","17974111100076","12 rue Jules Thirel"
"Tribunal de proximité de Martigues","13500","MARTIGUES","17130111200123","40 avenue de la Paix"
"Tribunal de proximité de Sète","34200","SETE","17340111800430","220 avenue Maréchal Juin"
"Tribunal de proximité de Vire Normandie","14500","VIRE NORMANDIE","17140111000506","4 rue Raymond Berthout"
"Tribunal de proximité de Brignoles","83170","BRIGNOLES","17130111200545","174 route du Val "
"Tribunal de proximité de Dinan","22100","DINAN","17350111500674","20 place Duguesclin"
"Tribunal judiciaire du Mans","72000","Le Mans","17490111600049","1 avenue Pierre Mendès-France"
"Tribunal judiciaire de Villefranche-sur-Saône","69400","Villefranche-sur-Saône","17690111400056","350 boulevard Gambetta"
"Tribunal judiciaire d'Orléans","45000","Orléans","17450111400063","44 rue de la bretonnerie"
"Tribunal judiciaire de Tulle","19000","Tulle","17870111600083","9 quai Gabriel Péri"
"Tribunal judiciaire d'Alençon","61000","Alençon","17140111000092","place du Maréchal Foch"
"Tribunal judiciaire de La Rochelle","17000","La Rochelle","17860111800155","10 Rue du Palais"
"Tribunal judiciaire de Saint-Omer","62500","Saint-Omer","17590111500303","3 Rue des Tribunaux"
"Tribunal judiciaire de Lyon","69003","Lyon","17690111400403","67 Rue Servient"
"Tribunal judiciaire de Bordeaux","33000","Bordeaux","17330111000529","30 rue des Frères Bonie"
"Tribunal judiciaire de Bobigny","93000","Bobigny","17750111100583","173 Av Paul Vaillant Couturier"
"Tribunal judiciaire de Paris","75001","Paris","17750111101763","Parvis du Tribunal de Paris"
"Tribunal de proximité d'Arcachon","33129","Arcachon","17330111000024","Place Lucien de Gracia"
"Tribunal de proximité de Beaune","21200","Beaune","17210111500027","2 rue du Tribunal"
"Tribunal de proximité de Thann","68800","Thann","17680111600037","41 pl Mal de Lattre de Tassigny"
